Project,Subproject of Deployments_annotated.jmp,Deployment,Deployme_1,Date_Out,Date_Retri,First_Dete,Survey_Day,Latitude,Longitude,Time_Zone,Habitat,Feature_Wa,Feature_Ro,Feature_Hu,Feature__1,Feature_Lo,Vegetation,Vegetati_1,Vegetati_2,Camera_Hei,Resticted_,Obstructed,Wide,gppcum_0.5deg,gppmin_0.5deg,gppvar_0.5deg,GPP_VAR1km,GPP_min1km,CUM_GPP1km,cultiv1km,gpw_v4_pop,GPP_Cum_combo,GPP_Min_combo,GPP_Var_combo,pop_log1p,GPP_min_combo_log1p,Subproject of untitled 3,Deployment_Name,N(Abert's Squirrel),N(Allen's Chipmunk),N(American Badger),N(American Beaver),N(American Bison),N(American Black Bear),N(American Marten),N(American Mink),N(American Red Squirrel),N(American Robin),N(Arizona Gray Squirrel),N(Bald Eagle),N(Bicycle),N(Black Vulture),N(Black-tailed Jackrabbit),N(Black-tailed Prairie Dog),N(Bobcat),N(Brown Bear),N(Brush Rabbit),N(Bushy-tailed Woodrat),N(California Quail),N(Camera Trapper),N(Canada Goose),N(Canada Lynx),N(Cliff Chipmunk),N(Collared Peccary),N(Common Pheasant),N(Corvid species),N(Coyote),N(Desert Cottontail),N(Desert Woodrat),N(Domestic Cat),N(Domestic Cow),N(Domestic Dog),N(Domestic Horse),N(Domestic Sheep),N(Douglas's Squirrel),N(Dusky Grouse),N(Eastern Chipmunk),N(Eastern Cottontail),N(Eastern Fox Squirrel),N(Eastern Gray Squirrel),N(Eastern Woodrat),N(Ermine),N(Fisher),N(Gambel's Quail),N(Gemsbok),N(Golden Eagle),N(Gray Wolf),N(Great Blue Heron),N(Greater Roadrunner),N(Grey Fox),N(Harris's Antelope Squirrel),N(Human non-staff),N(Javan Mongoose),N(Kit Fox),N(Least Chipmunk),N(Long-tailed Weasel),N(Marsh Rabbit),N(Merriam's Kangaroo Rat),N(Mexican Woodrat),N(Moose),N(Mountain Beaver),N(Mountain Cottontail),N(Mountain Quail),N(Mule Deer),N(Muskrat),N(Nine-banded Armadillo),N(No Animal),N(North American Otter),N(North American Porcupine),N(Northern Flying Squirrel),N(Northern Raccoon),N(Other Bird species),N(Owl species),N(Peromyscus species),N(Pronghorn),N(Puma),N(Pygmy Rabbit),N(Raptor species),N(Rattus species),N(Red Fox),N(Red Wolf),N(Reptile species),N(Ringtail),N(Rock Squirrel),N(Ruffed Grouse),N(Sharp-tailed Grouse),N(Snowshoe Hare),N(Southern Flying Squirrel),N(Spruce Grouse),N(Striped Skunk),N(Swamp Rabbit),N(Townsend's Chipmunk),N(Turkey Vulture),N(Uinta Chipmunk),N(Unknown Animal),N(Unknown Bear),N(Unknown Bird),N(Unknown Canid),N(Unknown Cervid),N(Unknown Chipmunk),N(Unknown Cottontail),N(Unknown Flying Squirrel),N(Unknown Ground Squirrel),N(Unknown Ground-Dove),N(Unknown Large Weasel_Badger_Otter),N(Unknown Pig_Peccary),N(Unknown Rabbit_Hare),N(Unknown Raptor),N(Unknown Skunk),N(Unknown Small Mammal),N(Unknown Small Weasel),N(Unknown Squirrel),N(Unknown Woodrat),N(Vehicle),N(Virginia Opossum),N(Wapiti),N(Western Gray Squirrel),N(Western Spotted Skunk),N(White-tailed Antelope Squirrel),N(White-tailed Deer),N(White-tailed Jackrabbit),N(Wild Boar),N(Wild Turkey),N(Woodchuck)
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_12,d62343,09/09/2019,11/04/2019,09/09/2019,56,25.1769,-80.3699,EST,forest,0,0,0,0,1,low,medium,medium,1,0,0,1,10208.4,132.134,1.05218,4.65165,0,135,0,1.97116,135,0,4.65165,1.088952449,0,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,29,1,0,0,0,0,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_2,d62333,09/09/2019,11/04/2019,09/09/2019,56,25.1721,-80.3731,EST,forest,0,0,0,0,0,medium,medium,high,1,0,0,0,10208.4,132.134,1.05218,4.65165,0,135,0.00183655,229.162,135,0,4.65165,5.4387834088,0,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_4,d62335,09/09/2019,11/04/2019,09/09/2019,56,25.1738,-80.3735,EST,forest,0,0,0,0,0,medium,low,medium,1,0,0,0,10208.4,132.134,1.05218,4.65165,0,135,0.000918274,229.162,135,0,4.65165,5.4387834088,0,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_8,d62339,09/12/2019,11/04/2019,09/12/2019,53,25.1751,-80.3719,EST,forest,0,0,0,0,0,low,medium,NA,1,1,0,1,10208.4,132.134,1.05218,4.65165,0,135,0,1.97116,135,0,4.65165,1.088952449,0,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_1,d62332,09/10/2019,11/04/2019,09/10/2019,55,25.19604,-80.35303,EST,forest,0,1,0,1,0,low,low,medium,1,0,0,0,10857.5,143.711,0.992746,-9999,-9999,-9999,0,28.3604,10857.5,143.711,0.992746,3.3796468276,4.9747386501,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,5,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_10,d62341,09/09/2019,11/04/2019,09/09/2019,56,25.2693,-80.307,EST,forest,0,0,0,0,0,low,low,medium,1,0,0,1,12118.1,170.097,0.919217,-9999,-9999,-9999,0,1.01306,12118.1,170.097,0.919217,0.6996559525,5.1422306471,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_11,d62342,09/10/2019,11/04/2019,09/10/2019,55,25.2307,-80.3278,EST,forest,0,0,0,0,1,low,low,medium,1,0,0,0,11649.1,159.622,0.958139,-9999,-9999,-9999,0,6.12677,11649.1,159.622,0.958139,1.9638581164,5.0790537784,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,23,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_13,d62344,09/12/2019,11/04/2019,09/12/2019,53,25.2576,-80.3131,EST,forest,0,0,0,0,0,low,medium,medium,1,0,0,1,12046.4,168.045,0.913471,-9999,-9999,-9999,0.00459137,4.56259,12046.4,168.045,0.913471,1.7160638271,5.1301649517,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_14,d62345,09/09/2019,11/04/2019,09/09/2019,56,25.2658,-80.3093,EST,forest,0,0,0,0,0,low,medium,medium,1,0,0,0,12064.8,168.557,0.904027,-9999,-9999,-9999,0,0.303069,12064.8,168.557,0.904027,0.2647222515,5.1331891535,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crocodile Lake Inventory and Monitoring Project,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_15,d62346,09/09/2019,11/04/2019,09/09/2019,56,25.304,-80.295,EST,forest,0,0,0,0,0,low,low,medium,1,0,0,0,12696.3,180.82,0.833709,0.188632,453,34215,0.00275482,40.5807,34215,453,0.188632,3.7276361173,6.118097198,FL_Key Largo 2019,FL_Forest_Key_Largo_2019_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
